bin,dotnet_core,module
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.AnyCPU\ServiceHub.ThreadedWaitDialog.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.AnyCPU\ServiceHub.VSDetouredHost.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.netfx.x86\ServiceHub.DataWarehouseHost.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.netfx.x86\ServiceHub.Host.netfx.x86.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.netfx.x86\ServiceHub.IdentityHost.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\MSBuild.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\MSBuildTaskHost.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\Roslyn\csc.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\Roslyn\csi.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\Roslyn\vbc.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\Roslyn\VBCSCompiler.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Microsoft\VisualStudio\v17.0\TeamTest\Publicize.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Team Tools\DiagnosticsHub\Collector\VSDiagnostics.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Team Tools\Performance Tools\VSPerfReport.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\Team Tools\Static Analysis Tools\FxCop\FxCopCmd.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.29.30133\bin\HostX64\x64\vctip.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.29.30133\bin\HostX64\x64\xdcmake.exe,True,MSCOREE.DLL
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.29.30133\bin\HostX64\x86\vctip.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.29.30133\bin\HostX64\x86\xdcmake.exe,True,MSCOREE.DLL
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.29.30133\bin\HostX86\x64\vctip.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.29.30133\bin\HostX86\x64\xdcmake.exe,True,MSCOREE.DLL
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.29.30133\bin\HostX86\x86\vctip.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.29.30133\bin\HostX86\x86\xdcmake.exe,True,MSCOREE.DLL
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.42.34433\bin\Hostx64\x64\vctip.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.42.34433\bin\Hostx64\x64\xdcmake.exe,True,MSCOREE.DLL
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.42.34433\bin\Hostx64\x86\vctip.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.42.34433\bin\Hostx64\x86\xdcmake.exe,True,MSCOREE.DLL
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.42.34433\bin\Hostx86\x64\vctip.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.42.34433\bin\Hostx86\x64\xdcmake.exe,True,MSCOREE.DLL
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.42.34433\bin\Hostx86\x86\vctip.exe,True,mscoree.dll
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.42.34433\bin\Hostx86\x86\xdcmake.exe,True,MSCOREE.DLL
C:\Program Files\SentinelOne\Sentinel Agent 24.2.3.471\Tools\LogCollector.exe,True,mscoree.dll
C:\Program Files\WinCompose\wincompose.exe,True,mscoree.dll
C:\Program Files (x86)\IIS\Microsoft Web Deploy V3\msdeploy.exe,True,mscoree.dll
C:\Program Files (x86)\IIS Express\IisExpressAdminCmd.exe,True,mscoree.dll
C:\Program Files (x86)\IIS Express\iisexpresstray.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft Intune Management Extension\AgentExecutor.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft Intune Management Extension\ClientCertCheck.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft Intune Management Extension\ClientHealthEval.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft Intune Management Extension\ImeUI.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft Intune Management Extension\Microsoft.Management.Clients.CopyAgentCatalog.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft Intune Management Extension\Microsoft.Management.Services.IntuneWindowsAgent.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft Intune Management Extension\SensorLogonTask.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\ClickOnce Bootstrapper\Engine\Launcher.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\al.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\aspnet_intern.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\aspnet_merge.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\AxImp.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\CorFlags.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\disco.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\FUSLOGVW.exe,True,mscoree.dll
C:\Program Files (x86)\Microsoft SDKs\Windows\v10.0A\bin\NETFX 4.8 Tools\gacutil.exe,True,mscoree.dll
